city_name,total_sale,estimated_rent,unique_cx,avg_sale_per_cx,avg_rent_per_cx,"round(ct.avg_sale_per_cx/round((cr.estimated_rent/ct.unique_cx),2),2)"
Pune,1258290,15300,52,24197.88,294.23,82.24
Jaipur,803450,10800,69,11644.2,156.52,74.39
Chennai,944120,17100,42,22479.05,407.14,55.21
Delhi,750420,22500,68,11035.59,330.88,33.35
Bangalore,860110,29700,39,22054.1,761.54,28.96
Kanpur,213550,8100,35,6101.43,231.43,26.36
Indore,138590,6300,21,6599.52,300,22
Nagpur,140050,7200,24,5835.42,300,19.45
Surat,176540,13500,27,6538.52,500,13.08
Lucknow,109400,9000,21,5209.52,428.57,12.16
Kolkata,171460,16200,28,6123.57,578.57,10.58
Ahmedabad,137690,14400,23,5986.52,626.09,9.56
Mumbai,235000,31500,27,8703.7,1166.67,7.46
Hyderabad,131520,22500,21,6262.86,1071.43,5.85
